codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
75,2025-05-13,NXM-72273-96,Leche,1,PAQ,2
52,2025-05-13,YZK-06087-98,Pan,52,UNI,2
72,2025-05-13,SZJ-76414-24,Arroz,69,UNI,2
55,2025-05-13,LEK-96807-82,Azúcar,49,UNI,2
61,2025-05-13,GET-58791-09,Aceite,0,UNI,2
72,2025-05-13,HGA-86693-42,Harina,34,UNI,2
62,2025-05-13,FHG-40571-57,Sal,40,UNI,2
69,2025-05-13,BWL-77714-70,Café,0,PAQ,2
73,2025-05-13,PQX-59844-04,Té,22,UNI,2
54,2025-05-13,ORZ-56803-77,Galletas,24,UNI,2
