codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
66,2025-05-05,NXM-72273-96,Leche,23,UNI,2
57,2025-05-05,YZK-06087-98,Pan,11,PAQ,2
73,2025-05-05,SZJ-76414-24,Arroz,0,UNI,2
62,2025-05-05,LEK-96807-82,Azúcar,0,PAQ,2
75,2025-05-05,GET-58791-09,Aceite,0,UNI,2
68,2025-05-05,HGA-86693-42,Harina,33,UNI,2
63,2025-05-05,FHG-40571-57,Sal,0,PAQ,2
72,2025-05-05,BWL-77714-70,Café,0,PAQ,2
70,2025-05-05,PQX-59844-04,Té,51,UNI,2
65,2025-05-05,ORZ-56803-77,Galletas,0,PAQ,2
