codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
58,2025-05-29,NXM-72273-96,Leche,13,PAQ,2
71,2025-05-29,YZK-06087-98,Pan,73,UNI,2
59,2025-05-29,SZJ-76414-24,Arroz,22,UNI,2
62,2025-05-29,LEK-96807-82,Azúcar,38,UNI,2
56,2025-05-29,GET-58791-09,Aceite,12,PAQ,2
68,2025-05-29,HGA-86693-42,Harina,43,UNI,2
66,2025-05-29,FHG-40571-57,Sal,4,PAQ,2
56,2025-05-29,BWL-77714-70,Café,81,UNI,2
75,2025-05-29,PQX-59844-04,Té,14,PAQ,2
63,2025-05-29,ORZ-56803-77,Galletas,21,PAQ,2
