codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
67,2025-06-03,NXM-72273-96,Leche,95,UNI,2
63,2025-06-03,YZK-06087-98,Pan,124,UNI,2
61,2025-06-03,SZJ-76414-24,Arroz,38,PAQ,2
63,2025-06-03,LEK-96807-82,Azúcar,107,UNI,2
58,2025-06-03,GET-58791-09,Aceite,0,PAQ,2
70,2025-06-03,HGA-86693-42,Harina,92,UNI,2
72,2025-06-03,FHG-40571-57,Sal,5,PAQ,2
66,2025-06-03,BWL-77714-70,Café,31,PAQ,2
62,2025-06-03,PQX-59844-04,Té,27,PAQ,2
63,2025-06-03,ORZ-56803-77,Galletas,28,UNI,2
