codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
58,2025-05-26,NXM-72273-96,Leche,18,PAQ,2
63,2025-05-26,YZK-06087-98,Pan,10,PAQ,2
75,2025-05-26,SZJ-76414-24,Arroz,91,UNI,2
71,2025-05-26,LEK-96807-82,Azúcar,31,PAQ,2
74,2025-05-26,GET-58791-09,Aceite,24,PAQ,2
56,2025-05-26,HGA-86693-42,Harina,41,UNI,2
59,2025-05-26,FHG-40571-57,Sal,110,UNI,2
54,2025-05-26,BWL-77714-70,Café,22,UNI,2
71,2025-05-26,PQX-59844-04,Té,0,PAQ,2
58,2025-05-26,ORZ-56803-77,Galletas,34,UNI,2
