codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
60,2025-05-14,NXM-72273-96,Leche,0,PAQ,2
69,2025-05-14,YZK-06087-98,Pan,0,PAQ,2
57,2025-05-14,SZJ-76414-24,Arroz,1,PAQ,2
62,2025-05-14,LEK-96807-82,Azúcar,41,UNI,2
63,2025-05-14,GET-58791-09,Aceite,43,UNI,2
66,2025-05-14,HGA-86693-42,Harina,40,UNI,2
71,2025-05-14,FHG-40571-57,Sal,0,PAQ,2
60,2025-05-14,BWL-77714-70,Café,12,PAQ,2
60,2025-05-14,PQX-59844-04,Té,38,UNI,2
57,2025-05-14,ORZ-56803-77,Galletas,0,PAQ,2
