codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
74,9045,2025-04-29,NXM-72273-96,20,7569.93,CEX,2
54,5910,2025-04-29,YZK-06087-98,1,537.24,CEX,2
58,7486,2025-04-29,SZJ-76414-24,19,7241.0,CEX,2
75,1142,2025-04-29,LEK-96807-82,5,3926.97,EFE,2
60,7739,2025-04-29,GET-58791-09,7,3025.72,CEX,2
73,3810,2025-04-29,HGA-86693-42,0,0.0,CEX,2
60,8596,2025-04-29,FHG-40571-57,46,30472.29,EFE,2
70,3774,2025-04-29,BWL-77714-70,23,16251.14,CEX,2
52,9987,2025-04-29,PQX-59844-04,15,4505.69,CEX,2
55,5227,2025-04-29,ORZ-56803-77,20,14310.22,CEX,2
