codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
54,3121,2025-06-09,NXM-72273-96,7,3669.32,EFE,2
74,9583,2025-06-09,YZK-06087-98,15,9133.51,EFE,2
54,4415,2025-06-09,SZJ-76414-24,16,9993.73,EFE,2
70,9280,2025-06-09,LEK-96807-82,24,12877.05,CEX,2
64,8640,2025-06-09,GET-58791-09,14,5894.23,EFE,2
67,4895,2025-06-09,HGA-86693-42,9,6911.4,CEX,2
74,7466,2025-06-09,FHG-40571-57,12,6481.04,CEX,2
58,8201,2025-06-09,BWL-77714-70,40,17650.96,EFE,2
65,9190,2025-06-09,PQX-59844-04,28,12550.12,EFE,2
65,1997,2025-06-09,ORZ-56803-77,9,6006.77,CEX,2
