codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
65,4966,2025-05-20,NXM-72273-96,27,18723.88,CEX,2
59,4296,2025-05-20,YZK-06087-98,22,6292.18,CEX,2
67,4551,2025-05-20,SZJ-76414-24,2,655.93,CEX,2
58,3299,2025-05-20,LEK-96807-82,35,10643.97,CEX,2
68,8977,2025-05-20,GET-58791-09,40,20099.0,CEX,2
59,9515,2025-05-20,HGA-86693-42,12,5398.35,CEX,2
56,6431,2025-05-20,FHG-40571-57,12,8341.65,EFE,2
55,5458,2025-05-20,BWL-77714-70,0,0.0,CEX,2
71,7746,2025-05-20,PQX-59844-04,14,7749.17,EFE,2
61,2866,2025-05-20,ORZ-56803-77,35,20128.27,CEX,2
