codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
59,3526,2025-04-13,NXM-72273-96,4,1920.92,CEX,2
68,3343,2025-04-13,YZK-06087-98,47,20513.91,CEX,2
66,9560,2025-04-13,SZJ-76414-24,44,19043.35,CEX,2
54,3618,2025-04-13,LEK-96807-82,6,1999.71,EFE,2
66,5000,2025-04-13,GET-58791-09,4,3042.41,CEX,2
75,1661,2025-04-13,HGA-86693-42,28,13951.56,EFE,2
51,1017,2025-04-13,FHG-40571-57,43,25925.3,CEX,2
56,4870,2025-04-13,BWL-77714-70,17,12868.0,EFE,2
75,6049,2025-04-13,PQX-59844-04,5,2574.91,EFE,2
72,9370,2025-04-13,ORZ-56803-77,6,2275.71,EFE,2
