codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
72,5564,2025-05-09,NXM-72273-96,23,9143.15,EFE,2
62,1974,2025-05-09,YZK-06087-98,31,23720.43,EFE,2
56,5720,2025-05-09,SZJ-76414-24,10,7481.48,EFE,2
62,9271,2025-05-09,LEK-96807-82,24,15363.44,EFE,2
66,3014,2025-05-09,GET-58791-09,6,2616.82,EFE,2
67,9716,2025-05-09,HGA-86693-42,25,14195.99,CEX,2
61,6183,2025-05-09,FHG-40571-57,19,10629.0,EFE,2
70,6072,2025-05-09,BWL-77714-70,18,6476.26,CEX,2
51,3580,2025-05-09,PQX-59844-04,5,1851.19,EFE,2
71,1618,2025-05-09,ORZ-56803-77,22,6987.19,EFE,2
