codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
67,4594,2025-05-31,NXM-72273-96,37,26181.46,EFE,2
59,4015,2025-05-31,YZK-06087-98,39,13499.71,CEX,2
74,8301,2025-05-31,SZJ-76414-24,2,1200.77,CEX,2
54,4767,2025-05-31,LEK-96807-82,8,4856.07,EFE,2
72,9074,2025-05-31,GET-58791-09,39,19627.96,CEX,2
72,4412,2025-05-31,HGA-86693-42,45,14767.45,EFE,2
74,3616,2025-05-31,FHG-40571-57,29,10364.85,EFE,2
64,3088,2025-05-31,BWL-77714-70,20,6963.21,EFE,2
73,2843,2025-05-31,PQX-59844-04,42,30617.04,EFE,2
56,3546,2025-05-31,ORZ-56803-77,7,3425.42,CEX,2
