codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
67,4869,2025-06-05,NXM-72273-96,29,21747.81,CEX,2
75,9220,2025-06-05,YZK-06087-98,13,5487.63,EFE,2
66,8696,2025-06-05,SZJ-76414-24,41,13332.58,EFE,2
72,1977,2025-06-05,LEK-96807-82,23,12274.15,CEX,2
65,8133,2025-06-05,GET-58791-09,11,4143.61,CEX,2
52,8882,2025-06-05,HGA-86693-42,17,9885.65,CEX,2
61,5056,2025-06-05,FHG-40571-57,9,2881.37,EFE,2
74,7435,2025-06-05,BWL-77714-70,2,1193.59,EFE,2
51,9254,2025-06-05,PQX-59844-04,17,12744.61,EFE,2
72,3591,2025-06-05,ORZ-56803-77,31,8869.29,EFE,2
