codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
66,8456,2025-05-08,NXM-72273-96,25,15040.14,EFE,2
61,3515,2025-05-08,YZK-06087-98,13,4454.15,CEX,2
53,5074,2025-05-08,SZJ-76414-24,4,2148.22,EFE,2
55,6482,2025-05-08,LEK-96807-82,9,6718.06,EFE,2
67,3457,2025-05-08,GET-58791-09,2,1426.31,EFE,2
69,3937,2025-05-08,HGA-86693-42,31,15445.11,CEX,2
65,9105,2025-05-08,FHG-40571-57,44,24641.08,EFE,2
51,9572,2025-05-08,BWL-77714-70,18,10452.85,CEX,2
71,9280,2025-05-08,PQX-59844-04,29,20391.85,EFE,2
69,9667,2025-05-08,ORZ-56803-77,17,6871.15,CEX,2
