codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
71,9981,2025-04-15,NXM-72273-96,17,6379.37,CEX,2
66,7015,2025-04-15,YZK-06087-98,45,26092.53,CEX,2
73,1426,2025-04-15,SZJ-76414-24,47,26855.97,EFE,2
56,5546,2025-04-15,LEK-96807-82,46,33606.51,EFE,2
59,4039,2025-04-15,GET-58791-09,36,12360.26,EFE,2
59,8619,2025-04-15,HGA-86693-42,34,20564.84,EFE,2
59,1856,2025-04-15,FHG-40571-57,15,11093.47,EFE,2
63,9275,2025-04-15,BWL-77714-70,19,14747.1,EFE,2
67,3687,2025-04-15,PQX-59844-04,19,11978.12,CEX,2
73,9388,2025-04-15,ORZ-56803-77,31,17516.48,CEX,2
